model_name,model_path,model_type,issue_index,severity,category,op_name,node_name,indicator,details,hub
sentence-transformers__all-MiniLM-L6-v2,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_ii7mlsx2/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
google-bert__bert-base-uncased,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_3sdm9ovr/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
google__electra-base-discriminator,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_i8ixhwgj/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
sentence-transformers__paraphrase-multilingual-MiniLM-L12-v2,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_78g47nvx/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
openai__clip-vit-large-patch14,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_tay76js5/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
openai__clip-vit-base-patch32,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_gqe29xpb/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
FacebookAI__roberta-base,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_cxisal05/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
openai__clip-vit-large-patch14-336,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_xc6s7vo1/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
FacebookAI__xlm-roberta-base,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_7lszw1lv/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
FacebookAI__roberta-large,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_mroy1fqo/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
openai-community__gpt2,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_2s_l1p85/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
distilbert__distilbert-base-uncased,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_3cg3lvrz/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
facebook__opt-125m,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_bbtdagk6/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
FacebookAI__xlm-roberta-large,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_j99igx8l/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
ProsusAI__finbert,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_c2svg85j/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
google__vit-base-patch16-224,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_x4rid0vu/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
sentence-transformers__paraphrase-multilingual-mpnet-base-v2,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_ey5odqp9/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
google-bert__bert-base-cased,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_4rrf2erx/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
google-bert__bert-base-multilingual-uncased,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_ju3ercx5/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
google__vit-base-patch16-224-in21k,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_et0hcwek/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
sentence-transformers__paraphrase-MiniLM-L6-v2,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_tzt_v3qv/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
google__mobilebert-uncased,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_bk73p8t4/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
cardiffnlp__twitter-roberta-base-sentiment-latest,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_4_7pd_wt/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
distilbert__distilbert-base-uncased-finetuned-sst-2-english,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_0tp1kn8_/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
google-bert__bert-base-multilingual-cased,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_0x5i8ddu/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
distilbert__distilgpt2,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_2289sif7/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
apple__mobilevit-small,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_3r82t5u9/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
microsoft__deberta-v3-base,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_vvqhwivy/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
openai-community__gpt2-large,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_1qfzkz1n/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
google-t5__t5-small,/var/folders/fn/ffmz2qs53j1c8s_3w88wr2qm0000gn/T/td_ephemeral_93sold4z/tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected,huggingface
