model_name,model_path,model_type,issue_index,severity,category,op_name,node_name,indicator,details
FacebookAI__xlm-mlm-en-2048__tf_model.h5,TensorAbuse/TensorDetect/demo_models_large_new50_1to10gb/FacebookAI__xlm-mlm-en-2048__tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected
M-CLIP__XLM-Roberta-Large-Vit-B-16Plus__tf_model.h5,TensorAbuse/TensorDetect/demo_models_large_new50_1to10gb/M-CLIP__XLM-Roberta-Large-Vit-B-16Plus__tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected
Salesforce__ctrl__tf_model.h5,TensorAbuse/TensorDetect/demo_models_large_new50_1to10gb/Salesforce__ctrl__tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected
deepset__bert-large-uncased-whole-word-masking-squad2__tf_model.h5,TensorAbuse/TensorDetect/demo_models_large_new50_1to10gb/deepset__bert-large-uncased-whole-word-masking-squad2__tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected
dslim__bert-large-NER__tf_model.h5,TensorAbuse/TensorDetect/demo_models_large_new50_1to10gb/dslim__bert-large-NER__tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected
facebook__bart-large__tf_model.h5,TensorAbuse/TensorDetect/demo_models_large_new50_1to10gb/facebook__bart-large__tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected
facebook__esm1v_t33_650M_UR90S_1__tf_model.h5,TensorAbuse/TensorDetect/demo_models_large_new50_1to10gb/facebook__esm1v_t33_650M_UR90S_1__tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected
facebook__esm2_t36_3B_UR50D__tf_model-00001-of-00002.h5,TensorAbuse/TensorDetect/demo_models_large_new50_1to10gb/facebook__esm2_t36_3B_UR50D__tf_model-00001-of-00002.h5,Tensorflow h5 model,,none,none,,,,No issues detected
facebook__hubert-large-ls960-ft__tf_model.h5,TensorAbuse/TensorDetect/demo_models_large_new50_1to10gb/facebook__hubert-large-ls960-ft__tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected
facebook__mbart-large-50-many-to-many-mmt__tf_model.h5,TensorAbuse/TensorDetect/demo_models_large_new50_1to10gb/facebook__mbart-large-50-many-to-many-mmt__tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected
facebook__mbart-large-50-one-to-many-mmt__tf_model.h5,TensorAbuse/TensorDetect/demo_models_large_new50_1to10gb/facebook__mbart-large-50-one-to-many-mmt__tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected
facebook__mbart-large-50__tf_model.h5,TensorAbuse/TensorDetect/demo_models_large_new50_1to10gb/facebook__mbart-large-50__tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected
facebook__mbart-large-en-ro__tf_model.h5,TensorAbuse/TensorDetect/demo_models_large_new50_1to10gb/facebook__mbart-large-en-ro__tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected
facebook__opt-1.3b__tf_model.h5,TensorAbuse/TensorDetect/demo_models_large_new50_1to10gb/facebook__opt-1.3b__tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected
facebook__sam-vit-huge__tf_model.h5,TensorAbuse/TensorDetect/demo_models_large_new50_1to10gb/facebook__sam-vit-huge__tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected
facebook__wav2vec2-large-960h-lv60-self__tf_model.h5,TensorAbuse/TensorDetect/demo_models_large_new50_1to10gb/facebook__wav2vec2-large-960h-lv60-self__tf_model.h5,Tensorflow h5 model,,none,none,,,,No issues detected
